name,code,pop
Ávila,5,0
Alacant/Alicante,3,3548
Albacete,2,0
Almería,4,0
Araba/Álava,1,275
Asturias,33,138
Badajoz,6,0
Barcelona,8,486
Bizkaia/Vizcaya,48,0
Burgos,9,0
Cáceres,10,590
Cádiz,11,410
Córdoba,14,3015
Cantabria,39,0
Castelló/Castellón,12,353
Ceuta,51,0
Ciudad Real,13,0
Coru�a,15,68
Cuenca,16,78
Gipuzkoa/Guipúzcoa,20,0
Girona,17,201
Granada,18,378
Guadalajara,19,0
Huelva,21,0
Huesca,22,0
Jaén,23,0
La Rioja,26,76
Las Palmas,35,0
León,24,0
Lleida,25,0
Lugo,27,0
Málaga,29,0
Madrid,28,2230
Melilla,52,43
Murcia,30,396
Navarra,31,106
Ourense,32,0
Palencia,34,0
Pontevedra,36,0
Salamanca,37,0
Santa Cruz De Tenerife,38,0
Segovia,40,0
Sevilla,41,0
Soria,42,0
Tarragona,43,0
Teruel,44,0
Toledo,45,0
València/Valencia,46,1488
Valladolid,47,464
Zamora,49,0
Zaragoza,50,0
